-2.9;-39.2;Aarnikka;NPC
11.7;-26.4;Achathling;Mob
2.6;-37.3;Aidan;NPC
0.7;-39.9;Ailsa;NPC
6.7;-34.6;Akharn;Mob
8.6;-31.2;Akrur;Mob
0.3;-39.5;Almaric;Weapontrader
10.1;-25.8;Witch-King Altar;Item
8.9;-25.3;Witch-King Altar;Item
8.8;-27.4;Witch-King Altar;Item
10.2;-27.4;Witch-King Altar;Item
7.9;-34.6;Angmar Coal;Item
8.1;-34.7;Angmar Coal;Item
7.9;-34.8;Angmar Coal;Item
8.1;-34.5;Angmar Coal;Item
8.1;-34.9;Angmar Coal;Item
8.1;-35.1;Angmar Coal;Item
4.4;-27.3;Arngrim;NPC
0.4;-39.5;Arzhur;NPC
-4.9;-36.7;Aurochs Skull;Item
3.2;-30.4;Bail Boglakh;POI
10.5;-27.1;Bail Catharnakh;POI
7.9;-28.4;Bail Grundail;POI
-3.9;-26.5;Banfuir;NPC
9.2;-34.8;Barad Durgul;POI
1.1;-30.7;Bethad;NPC
3.3;-35.2;Bloodstone Trove;Item
3.9;-39.9;BloodWing;Mob
-0.8;-32.5;Boiling Spring;POI
1.4;-31.7;Boiling Spring;POI
-3.7;-26.3;Bolwerk;Weapontrader
-3.7;-26.6;Botwhar;NPC
-3.9;-26.5;Braigliar;NPC
6.3;-34.5;Branan;NPC
3.7;-27.4;Brekhm (Sword of Guinok);Mob
0.3;-39.5;Brennos;Weapontrader
4.8;-36.8;Cairn of Honour;POI
3.7;-37.8;Caitir Adder-kiss (S);Mob, Beryl Shard Dropper
11.4;-33.7;Camp Site Fire;Item
4.1;-21.7;Camp Site Fire;Item
0.8;-39.8;Cana;NPC
3.6;-34.7;Captain Walraig;NPC
0.3;-39.5;Chenan;NPC
-0.1;-40.2;Chicken Stone;Item
-2.9;-39.0;Chicken Stone;Item
-1.8;-33.2;Chicken Stone;Item
-3.1;-39.1;Chief Tuokki;NPC
2.8;-39.4;Chillgrip;Mob
-1.2;-31.5;Clear Spring;POI
0.6;-32.7;Cloudy Spring;POI
-3.9;-26.6;Commander Gisur;NPC
6.2;-34.4;Cormag;NPC
0.7;-39.9;Corunir;NPC
-0.1;-40.2;Crannog;NPC
2.7;-37.1;Danghal;Mob
3.6;-37.2;Danghal;Mob
-3.2;-36.9;Danghal;Mob
3.2;-36.9;Danghal;Mob
0.3;-39.5;Deloric;Bowyer
10.9;-23.9;Donaith;NPC
-1.8;-36.6;Donakh;Mob
-3.5;-38.4;Donakh;Mob
-0.2;-40.5;Donnan;NPC
-3.4;-39.8;Drake Matron;Mob
-0.4;-28.4;Dread Turtle Nest;POI
-0.6;-26.2;Dugald (Sword of Innis);Mob
8.8;-26.2;Dugald Storm-Fist (E);Mob
6.4;-37.6;Dun Covad;POI
2.4;-25.9;Durbskut;Mob
