-5.4;-105.1;Auctioner;Auctioneer
-8.1;-107.1;Baiurz-mur;POI
-5.9;-105.1;Bard of the Twenty-first Hall;Bard
-11.7;-108.3;Bonfire;Item
-11.7;-108.1;Bonfire;Item
-11.5;-108.1;Bonfire;Item
-11.9;-108.2;Bonfire;Item
-12.0;-108.3;Bonfire;Item
-12.2;-108.2;Bonfire;Item
-12.4;-108.3;Bonfire;Item
-12.3;-107.8;Bonfire;Item
-12.2;-107.7;Bonfire;Item
-12.0;-107.8;Bonfire;Item
-11.8;-107.7;Bonfire;Item
-11.8;-107.8;Bonfire;Item
-11.6;-108.0;Budkhul-tharakh;POI
-6.2;-105.4;Burglar Trainer;Burglar Trainer
-6.1;-105.4;Captain Trainer;Captain Trainer
-4.8;-105.3;Chamber of Mazarbul;POI
-6.3;-105.3;Champion Trainer;Champion Trainer
-5.4;-104.9;Crafting Guild Trainer;NPC
-4.7;-105.3;Debris (right item for book 3);Item
-8.0;-105.4;Durub Shrine;Item
-9.1;-107.4;Dwarf Scroll (burglar 58lvl class quest);Item
-9.0;-106.9;Dwarf Scroll (burglar 58lvl class quest);Item
-11.4;-107.0;Dwarf-trap;Item
-11.4;-107.3;Dwarf-trap;Item
-11.3;-107.4;Dwarf-trap;Item
-11.4;-107.5;Dwarf-trap;Item
-11.4;-107.8;Dwarf-trap;Item
-11.4;-108.1;Dwarf-trap;Item
-11.0;-108.3;Dwarf-trap;Item
-11.1;-108.0;Dwarf-trap;Item
-5.4;-104.9;Expert Cook;Expert Cook
-5.4;-104.9;Expert Jeweller;Expert Jeweller
-5.4;-104.9;Expert Metalsmith;Expert Metalsmith
-5.4;-104.9;Expert Scholar;Expert Scholar
-5.4;-104.9;Expert Tailor;Expert Tailor
-5.4;-104.9;Expert Weaponcrafter;Expert Weaponcrafter
-5.4;-104.9;Expert Woodworker;Expert Woodworker
-5.4;-104.9;Forge-master;Item-master
-9.7;-108.7;Gabil-hul;POI
-9.0;-107.2;Gabil-mamach;POI
-8.2;-105.4;Gazatu-ru;POI
-6.3;-105.3;Guardian Trainer;Guardian Trainer
-9.1;-107.7;Hall of Flowing Water;POI
-11.0;-106.6;Healer Orc-watch;Healer
-5.8;-105.1;Healer Twenty-first Hall;Healer
-11.1;-106.8;Heavy Armor Trader;Heavy Armor Trader
-5.7;-105.2;Hobby Master;NPC
-6.0;-105.5;Hunter Trainer;Hunter Trainer
-5.7;-105.1;Iron Garrison Guards;NPC
-11.0;-106.7;Iron Garrison Guards;NPC
-5.7;-105.1;Iron Garrison Guard Trader;NPC
-5.9;-105.0;Iron Garrison Miners;NPC
-5.9;-105.0;Iron Garrison Miner Trader;NPC
-12.1;-108.0;Khufdul-tharakh;POI
-11.1;-106.7;Light Armor Trader;Light Armor Trader
-6.0;-105.2;Loremaster Trainer;Loremaster Trainer
-5.7;-105.4;Mailbox;Item
-5.4;-104.9;Master of Apprentice;Master of Apprentices
-11.0;-106.7;Medium Armor Trader;Medium Armor Trader
-8.4;-107.7;Mezel-katub (Green Door);POI
-11.1;-106.6;Milestone Orc-watch;Milestone
-5.8;-105.1;Milestone Twenty-first Hall;Milestone
-6.0;-105.2;Ministrel Trainer;Ministrel Trainer
-10.8;-108.2;Moria Orc-Banner;Item
-7.2;-108.3;Mormaudhul;POI
-6.4;-107.7;Mudmul-charaf;POI
-7.6;-106.9;Orc-wall Section (barricade for quest in Baiurz-mur);Item
-7.5;-105.8;Ozut and Khil;Mob
-6.7;-104.7;Pile Of Old Weapons;Item
-4.8;-104.7;Pile Of Old Weapons;Item
-11.0;-106.7;Provisioner Orc-watch;Provisioner
